year,homicides,persons,homicide_rate
1898-01-01,328,31517700,10.406850753703473
1899-01-01,322,31881400,10.0999328762225
1900-01-01,312,32249200,9.674658596182232
1901-01-01,341,32612000,10.456273764258555
1902-01-01,330,32950900,10.014900958699155
1903-01-01,312,33293300,9.371254877107404
1904-01-01,316,33639300,9.393774543465529
1905-01-01,287,33988800,8.443958009697312
1906-01-01,263,34342000,7.6582610214897215
1907-01-01,273,34698900,7.867684566369539
1908-01-01,321,35059500,9.155863603302956
1909-01-01,300,35423800,8.468882502724158
1910-01-01,288,35791900,8.046513317258933
1911-01-01,291,36136000,8.052911224263893
1912-01-01,311,36327000,8.561125333773777
1913-01-01,332,36574000,9.07748673921365
1914-01-01,269,36967000,7.276760353829091
1915-01-01,275,35284000,7.793900918263236
1916-01-01,257,34642000,7.4187402574909065
1917-01-01,226,34197000,6.608766850893353
1918-01-01,204,34024000,5.995767693392899
1919-01-01,298,36800000,8.097826086956522
1920-01-01,313,37524000,8.341328216608039
1921-01-01,251,37932000,6.617104291890752
1922-01-01,243,38205000,6.360424028268551
1923-01-01,259,38449000,6.736195999895966
1924-01-01,274,38795000,7.062765820337673
1925-01-01,318,38935000,8.167458584820855
1926-01-01,297,39114000,7.593189139438564
1927-01-01,293,39286000,7.4581275772539835
1928-01-01,284,39483000,7.192969125952942
1929-01-01,311,39600000,7.853535353535353
1930-01-01,300,39801000,7.537499057812617
1931-01-01,287,39988000,7.177153145943783
1932-01-01,289,40201000,7.188875898609487
1933-01-01,356,40350000,8.822800495662948
1934-01-01,348,40467000,8.599599673808287
1935-01-01,312,40645000,7.676220937384672
1936-01-01,361,40839000,8.839589607972771
1937-01-01,305,41031000,7.4334040116009845
1938-01-01,305,41215000,7.400218367099357
1939-01-01,,41460000,
1940-01-01,288,39889000,7.220035598786633
1941-01-01,315,38743000,8.1305009937279
1942-01-01,406,38243000,10.616321941270298
1943-01-01,322,37818000,8.514464011846211
1944-01-01,358,37785000,9.474659256318645
1945-01-01,492,37916000,12.976052326194745
1946-01-01,347,40759000,8.513457150567973
1947-01-01,371,41786000,8.878571770449433
1948-01-01,341,43296000,7.876016260162602
1949-01-01,298,43595000,6.835646289712122
1950-01-01,346,43830000,7.894136436230892
1951-01-01,328,43815000,7.486020769142988
1952-01-01,400,43955000,9.10021613013309
1953-01-01,327,44109000,7.413453036795212
1954-01-01,311,44274000,7.02443872250079
1955-01-01,279,44441000,6.277986543957156
1956-01-01,315,44667000,7.052186177715091
1957-01-01,332,44907000,7.393056761752065
1958-01-01,261,45109000,5.785985058414064
1959-01-01,266,45386000,5.860838143921033
1960-01-01,282,45775000,6.160567995630803
1961-01-01,265,46196200,5.736402561249626
1962-01-01,299,46657300,6.408429120416312
1963-01-01,307,46973100,6.535655513474733
1964-01-01,296,47324300,6.254714808248617
1965-01-01,325,47671400,6.817504835184199
1966-01-01,364,47966500,7.588629564383476
1967-01-01,412,48271900,8.534986192795394
1968-01-01,425,48510700,8.760953768962311
1969-01-01,392,48738000,8.043005457753704
1970-01-01,393,48891100,8.038272814479527
1971-01-01,459,49152000,9.33837890625
1972-01-01,476,49327100,9.649867922501018
1973-01-01,465,49459000,9.401726682706888
1974-01-01,600,49467900,12.12907764429054
1975-01-01,515,49469800,10.410391794589831
1976-01-01,565,49459200,11.423557194616977
1977-01-01,482,49440400,9.749112062200144
1978-01-01,532,49442500,10.759973706831168
1979-01-01,629,49508200,12.704966046028739
1980-01-01,620,49603000,12.499243997338871
1981-01-01,559,49634300,11.262372996093427
1982-01-01,618,49581626,12.464294736925327
1983-01-01,550,49616997,11.08491108399809
1984-01-01,621,49713130,12.491669705769883
1985-01-01,616,49860713,12.35441619136092
1986-01-01,661,49998574,13.220377045153327
1987-01-01,688,50122984,13.726237847291774
1988-01-01,624,50253568,12.417028776941768
1989-01-01,737,50407826,14.620745596130252
1990-01-01,669,50560628,13.231639448782163
1991-01-01,725,50748033,14.286268001756836
1992-01-01,687,50875647,13.503513773495598
1993-01-01,670,50985877,13.140893898912438
1994-01-01,726,51116228,14.202925927946014
1995-01-01,745,51271978,14.530354182941801
1996-01-01,679,51410433,13.207435930368453
1997-01-01,739,51559648,14.332913987310388
1998-01-01,750,51720104,14.501130933534085
1999-01-01,766,51933471,14.74963997688504
2000-01-01,850,52140181,16.302206545849927
2001-01-01,891,52359978,17.01681387261087
2002-01-01,1047,52602143,19.904132042681226
2003-01-01,904,52863238,17.100730757355425
2004-01-01,868,53152022,16.33051702153495
2005-01-01,764,53575343,14.260291343351735
2006-01-01,758,53950854,14.049823937912086
2007-01-01,775,54387392,14.249626089811404
2008-01-01,664,54841720,12.107570659709433
2009-01-01,620,55235253,11.224715491028892
2010-01-01,639,55692423,11.473733150378465
2011-01-01,553,56170927,9.844950573808404
2012-01-01,558,56567796,9.86426976932246
2013-01-01,533,56948229,9.359377971174485
2014-01-01,539,57408654,9.388828381170546
2015-01-01,577,57885413,9.967968959641006
2016-01-01,625,58381217,10.705497968636042
2017-01-01,730,58744600,12.426674111322573
2018-01-01,693,59115800,11.722754322871381
