Row Labels,Defendants,Mean offence to charge (days),Mean charge to first listing (days),Mean first listing to completion at magistrates' court (days),Mean sending to Crown Court to main hearing (days),Mean main hearing to completion (days),Mean offence to completion (days),Median offence to charge (days),Median charge to first listing (days),Median first listing to completion at magistrates' court (days),Median sending to Crown Court to main hearing (days),Median main hearing to completion (days),Median offence to completion (days)
Violence against the person: All,"14,959",122.37,21.09980614,5.968915034,140.6232368,41.27902935,331.34,17,2,0,131,9,236
Violence against the person: Murder,553,81.02,1.079566004,4.309222423,174.4990958,55.86980108,316.78,5,1,0,168,32,227
Sexual offences: All,"6,587",2423.00,36.80537422,4.980871413,195.9936238,53.35236071,2714.14,341,29,0,179,18,668
Sexual offences: All rape,"2,358",2420.27,34.7192536,3.086089907,221.2858355,57.42281595,2736.79,394.5,28,0,196,16,754
Sexual offences: Child rape,991,4579.58,33.87588295,4.236125126,217.8758829,63.10696266,4898.67,2594,28,0,202,31,2892
Sexual offences: Adult rape,"1,367",854.89,35.33065106,2.252377469,223.7578639,53.30212143,1169.54,213,26,0,193,8,571
Robbery,"4,610",65.28,15.01475054,2.875704989,114.4221258,53.05748373,250.65,7,1,0,104,21,193
Theft Offences,"11,805",93.17,17.95468022,10.53367217,89.83202033,38.97069039,250.46,18,1,0,41,3,173
Criminal damage and arson,684,64.39,16.6125731,7.252923977,115.4795322,63.76023392,267.49,2,1,0,85,42,203
Drug offences,"11,846",129.78,38.81242614,6.408239068,100.2976532,58.67161911,333.97,79,20,0,44,18.5,286
Possession of weapons,"3,427",46.74,18.02772104,10.36299971,104.3971404,40.31281004,219.84,1,2,0,57,7,171
Public order offences,"3,194",111.76,32.05854728,6.330306825,127.2463995,52.84596118,330.24,48,27,0,81,11,284
Miscellaneous crimes against society,"9,638",218.00,31.80234488,8.074289272,100.355883,41.23500726,399.47,102,27,0,38,2,276
Fraud Offences,"2,655",641.70,41.89905838,14.06666667,186.5902072,69.35743879,953.61,429,29,0,134,21,735
Summary Non-Motoring,"1,880",38.77,18.04893617,22.78882979,89.54361702,31.23989362,200.39,1,4,0,41,0,150
Summary motoring,312,47.31,40.5,32.20512821,63.40705128,35.20512821,218.63,2,23,0,30.5,0,166
Child sexual abuse: All,"5,328",2750.77,38.32132132,4.292417417,150.4466967,48.31156156,2992.15,446,29,0,117,21,678
Child sexual abuse: Contact,"3,342",4157.12,37.53411131,4.440754039,194.7348893,59.26511071,4453.09,1374,29,0,181,28,1739.5
Child sexual abuse: Images,"1,986",384.21,39.64602216,4.042799597,75.91943605,29.87915408,533.70,273.5,29,0,32,0,406.5
Modern Slavery,31,242.55,23.51612903,0.258064516,183,39.61290323,488.94,4,1,0,168,3,249
All Crown Court cases,71597,351.7276841,27.08038046,7.882578879,121.0191209,47.07500314,554.7847675,43,16,0,77,9,250
